prospectRank,priorityType,teamId,parentTeam,division,affiliateLevel,affiliateName,firstName,lastName,age,position,currentDisplayOVR,floorDisplay,ceilingDisplay,contact,power,eye,speed,defense,durability,stuff,control,stamina,velocity,movement,workEthic,mentalToughness,leadership,competitiveness,developmentProgram,developmentTrajectory,role,scoutingNote
1,Top Prospect,nym,New York Tycoons,AL_EAST,AA,Albany Blue Chips,Ari,Abarca,22,SS,45,40,75,45,45,40,55,60,45,,,,,,61,60,49,62,tools,ahead_of_curve,Top ranked prospect / potential impact regular,"Up-the-middle athlete with defensive value and pressure-speed traits; tools are ahead of current baseball skill. Fits the org identity around polished bats, zone control, up-the-middle defense, and marketable high-floor prospects."
,Depth / Role Player,bal,Baltimore Crab Cakes,AL_EAST,INTERNATIONAL,Cartagena Crab Academy,Brody,Ames,18,RP,25,20,55,20,20,20,25,30,25,30,20,20,45,30,69,62,45,88,velocity,on_track,Academy arm strength project,Relief profile with one carrying pitch and room for command growth; velocity development drives the upside. Best used as academy arm strength project.
1,Top Prospect,wsh,Washington Monuments,AL_EAST,A_PLUS,Potomac Pylons,Cade,Huxley,21,SS,40,35,65,40,40,35,50,55,40,,,,,,83,74,57,66,tools,on_track,Top ranked prospect / potential impact regular,"Up-the-middle athlete with defensive value and pressure-speed traits; tools are ahead of current baseball skill. Fits the org identity around polished college performers, defense, command, and careful rule 5 planning."
2,Top Prospect,wsh,Washington Monuments,AL_EAST,AA,Arlington Surveyors,Dante,Ocampo,23,3B,45,40,65,45,65,40,40,45,45,,,,,,58,86,69,81,power,on_track,Impact follow prospect / everyday or rotation path,"Bat-first profile with enough impact to matter if the approach holds; game power is the development focus. Fits the org identity around polished college performers, defense, command, and careful rule 5 planning."
3,Top Prospect,wsh,Washington Monuments,AL_EAST,A_PLUS,Potomac Pylons,Ezra,Winslow,21,2B,40,35,60,40,40,35,50,55,40,,,,,,72,56,81,96,tools,on_track,Scarcity-position prospect / above-average role path,"Up-the-middle athlete with defensive value and pressure-speed traits; tools are ahead of current baseball skill. Fits the org identity around polished college performers, defense, command, and careful rule 5 planning."
4,Top Prospect,wsh,Washington Monuments,AL_EAST,AA,Arlington Surveyors,Finnian,Escobar,22,SS,40,35,60,40,40,35,50,55,40,,,,,,86,68,44,74,tools,on_track,Athletic regular upside,Up-the-middle athlete with defensive value and pressure-speed traits; tools are ahead of current baseball skill. Best used as athletic regular upside.
5,Top Prospect,wsh,Washington Monuments,AL_EAST,AAA,Alexandria Obelisks,Gianni,Lazaro,25,RP,50,45,60,20,20,20,25,30,55,55,45,40,70,50,61,80,56,89,velocity,on_track,Near-ready relief or swingman option,Relief profile with one carrying pitch and room for command growth; velocity development drives the upside. Best used as near-ready relief or swingman option.
6,Top Prospect,wsh,Washington Monuments,AL_EAST,A_PLUS,Potomac Pylons,Holden,Toma,21,DH,35,25,60,35,55,30,30,35,35,,,,,,75,92,68,67,power,on_track,Power or corner-depth prospect,Bat-first profile with enough impact to matter if the approach holds; game power is the development focus. Best used as power or corner-depth prospect.
7,Top Prospect,wsh,Washington Monuments,AL_EAST,A,Georgetown Marblemen,Ismael,Carden,20,LF,35,25,55,35,45,40,30,40,35,,,,,,89,62,80,82,fundamentals,on_track,Defense/speed development prospect,Bat-first profile with enough impact to matter if the approach holds; fundamentals can turn the tools into a role. Best used as defense/speed development prospect.
8,Top Prospect,wsh,Washington Monuments,AL_EAST,A,Georgetown Marblemen,Jude,Jun,20,SP,30,20,60,20,20,20,20,30,30,35,30,50,35,30,64,74,43,60,stamina,on_track,Raw arm with starter traits,Starter traits with enough pitch mix to stay in a rotation; workload growth is the main development goal. Best used as raw arm with starter traits.
9,Top Prospect,wsh,Washington Monuments,AL_EAST,ROOKIE,Capitol Pedestals,Kieran,Quill,19,C,30,20,60,30,30,35,20,45,35,,,,,,78,86,55,75,fundamentals,bust_risk,Young bat with one loud carrying tool,Catcher with staff-handling traits and a realistic defensive path; fundamentals can turn the tools into a role. Best used as young bat with one loud carrying tool.
10,Top Prospect,wsh,Washington Monuments,AL_EAST,INTERNATIONAL,La Romana Monument Academy,Leandro,Ybarra,18,C,30,20,60,30,30,35,20,45,35,,,,,,92,56,67,90,fundamentals,bust_risk,International/rookie upside lottery ticket,Catcher with staff-handling traits and a realistic defensive path; fundamentals can turn the tools into a role. Best used as international/rookie upside lottery ticket.
,Depth / Role Player,wsh,Washington Monuments,AL_EAST,AAA,Alexandria Obelisks,Micah,Farraday,27,C,45,40,50,45,45,50,35,60,50,,,,,,73,55,51,83,fundamentals,on_track,Optionable catcher with receiving value,Catcher with staff-handling traits and a realistic defensive path; fundamentals can turn the tools into a role. Best used as optionable catcher with receiving value.
,Depth / Role Player,wsh,Washington Monuments,AL_EAST,AAA,Alexandria Obelisks,Niko,Mercado,26,3B,45,40,50,45,55,50,40,50,45,,,,,,84,62,56,96,fundamentals,on_track,Utility infielder / contact bench bat,Bat-first profile with enough impact to matter if the approach holds; fundamentals can turn the tools into a role. Best used as utility infielder / contact bench bat.
,Depth / Role Player,wsh,Washington Monuments,AL_EAST,AAA,Alexandria Obelisks,Ozzie,Valen,27,LF,45,40,50,45,55,50,40,50,45,,,,,,95,69,61,72,fundamentals,on_track,Left-handed bench outfield depth,Bat-first profile with enough impact to matter if the approach holds; fundamentals can turn the tools into a role. Best used as left-handed bench outfield depth.
,Depth / Role Player,wsh,Washington Monuments,AL_EAST,AAA,Alexandria Obelisks,Pierce,Dovek,28,SP,45,40,50,20,20,20,20,30,50,50,45,65,50,45,67,76,66,85,stamina,on_track,Sixth-starter depth,Starter traits with enough pitch mix to stay in a rotation; workload growth is the main development goal. Best used as sixth-starter depth.
,Depth / Role Player,wsh,Washington Monuments,AL_EAST,AA,Arlington Surveyors,Rowan,Kepler,24,RP,40,35,55,20,20,20,25,30,45,45,35,30,60,40,78,83,71,61,velocity,on_track,Middle-relief shuttle candidate,Relief profile with one carrying pitch and room for command growth; velocity development drives the upside. Best used as middle-relief shuttle candidate.
,Depth / Role Player,wsh,Washington Monuments,AL_EAST,AA,Arlington Surveyors,Sterling,Rivas,24,RF,40,35,55,40,50,45,35,45,40,,,,,,89,90,76,74,fundamentals,on_track,Fourth-outfielder depth,Bat-first profile with enough impact to matter if the approach holds; fundamentals can turn the tools into a role. Best used as fourth-outfielder depth.
,Depth / Role Player,wsh,Washington Monuments,AL_EAST,A_PLUS,Potomac Pylons,Tristan,Zavala,22,SS,35,25,55,35,30,35,40,55,35,,,,,,61,55,81,87,defense,on_track,Defense-first infield depth,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as defense-first infield depth.
,Depth / Role Player,wsh,Washington Monuments,AL_EAST,A,Georgetown Marblemen,Victor,Garnet,21,SP,30,20,55,20,20,20,20,30,30,35,30,50,35,30,72,62,86,63,stamina,on_track,Developmental starter with strike-throwing base,Starter traits with enough pitch mix to stay in a rotation; workload growth is the main development goal. Best used as developmental starter with strike-throwing base.
,Depth / Role Player,wsh,Washington Monuments,AL_EAST,ROOKIE,Capitol Pedestals,Wyatt,Norcross,19,C,25,20,50,25,25,30,20,40,30,,,,,,83,69,42,76,fundamentals,on_track,Young catcher / staff-handling project,Catcher with staff-handling traits and a realistic defensive path; fundamentals can turn the tools into a role. Best used as young catcher / staff-handling project.
,Depth / Role Player,wsh,Washington Monuments,AL_EAST,INTERNATIONAL,La Romana Monument Academy,Xander,Voss,18,SS,25,20,55,25,20,25,30,45,25,,,,,,94,76,47,89,defense,on_track,Academy middle-infield glove project,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as academy middle-infield glove project.
1,Top Prospect,chi,Chicago Deep Dish,AL_CENTRAL,AA,Aurora Ovenbirds,Yosef,Duarte,22,1B,45,40,75,45,70,40,40,45,45,,,,,,69,88,59,67,power,ahead_of_curve,Top ranked prospect / potential impact regular,"Bat-first profile with enough impact to matter if the approach holds; game power is the development focus. Fits the org identity around big-body power, durable corner bats, and pitchers who can survive a hitter-friendly home park."
2,Top Prospect,chi,Chicago Deep Dish,AL_CENTRAL,AA,Aurora Ovenbirds,Zev,Kovar,23,SP,45,40,65,20,20,20,20,30,50,50,50,55,50,50,83,58,71,82,refinement,on_track,Impact follow prospect / everyday or rotation path,"Starter traits with enough pitch mix to stay in a rotation; refinement should decide the role. Fits the org identity around big-body power, durable corner bats, and pitchers who can survive a hitter-friendly home park."
3,Top Prospect,chi,Chicago Deep Dish,AL_CENTRAL,A_PLUS,Rockford Crustmakers,Ari,Toma,21,RP,40,35,65,20,20,20,25,30,40,45,35,30,60,40,58,70,83,60,velocity,on_track,Scarcity-position prospect / above-average role path,"Relief profile with one carrying pitch and room for command growth; velocity development drives the upside. Fits the org identity around big-body power, durable corner bats, and pitchers who can survive a hitter-friendly home park."
4,Top Prospect,chi,Chicago Deep Dish,AL_CENTRAL,AA,Aurora Ovenbirds,Bento,Carden,22,LF,40,35,60,40,65,35,35,40,40,,,,,,72,82,46,75,power,on_track,Athletic regular upside,Bat-first profile with enough impact to matter if the approach holds; game power is the development focus. Best used as athletic regular upside.
5,Top Prospect,chi,Chicago Deep Dish,AL_CENTRAL,AAA,Gary Steel Slices,Caleb,Jun,25,CL,50,45,60,20,20,20,25,30,55,60,50,40,60,60,86,94,58,90,breaking,on_track,Near-ready relief or swingman option,Late-inning arm with leverage temperament and swing-and-miss shape; breaking-ball quality is the carrying skill. Best used as near-ready relief or swingman option.
6,Top Prospect,chi,Chicago Deep Dish,AL_CENTRAL,A_PLUS,Rockford Crustmakers,Dario,Quill,21,C,35,25,60,35,40,40,25,50,40,,,,,,61,64,70,68,fundamentals,on_track,Power or corner-depth prospect,Catcher with staff-handling traits and a realistic defensive path; fundamentals can turn the tools into a role. Best used as power or corner-depth prospect.
7,Top Prospect,chi,Chicago Deep Dish,AL_CENTRAL,A,Cicero Saucehands,Elias,Ybarra,20,3B,35,25,55,35,50,40,30,40,35,,,,,,75,76,82,83,fundamentals,on_track,Defense/speed development prospect,Bat-first profile with enough impact to matter if the approach holds; fundamentals can turn the tools into a role. Best used as defense/speed development prospect.
8,Top Prospect,chi,Chicago Deep Dish,AL_CENTRAL,A,Cicero Saucehands,Fynn,Farraday,20,RP,30,20,60,20,20,20,25,30,30,35,25,20,50,30,89,88,45,61,velocity,on_track,Raw arm with starter traits,Relief profile with one carrying pitch and room for command growth; velocity development drives the upside. Best used as raw arm with starter traits.
9,Top Prospect,chi,Chicago Deep Dish,AL_CENTRAL,ROOKIE,Naperville Doughboys,Gideon,Mercado,19,DH,30,20,60,30,45,35,25,35,30,,,,,,64,58,57,76,fundamentals,bust_risk,Young bat with one loud carrying tool,Bat-first profile with enough impact to matter if the approach holds; fundamentals can turn the tools into a role. Best used as young bat with one loud carrying tool.
10,Top Prospect,chi,Chicago Deep Dish,AL_CENTRAL,INTERNATIONAL,Santiago Deep Dish Academy,Harlan,Valen,18,RF,30,20,60,30,45,35,25,35,30,,,,,,78,70,69,91,fundamentals,bust_risk,International/rookie upside lottery ticket,Bat-first profile with enough impact to matter if the approach holds; fundamentals can turn the tools into a role. Best used as international/rookie upside lottery ticket.
,Depth / Role Player,chi,Chicago Deep Dish,AL_CENTRAL,AAA,Gary Steel Slices,Isaak,Dovek,27,C,45,40,50,45,50,50,35,60,50,,,,,,59,69,53,84,fundamentals,on_track,Optionable catcher with receiving value,Catcher with staff-handling traits and a realistic defensive path; fundamentals can turn the tools into a role. Best used as optionable catcher with receiving value.
,Depth / Role Player,chi,Chicago Deep Dish,AL_CENTRAL,AAA,Gary Steel Slices,Jalen,Kepler,26,2B,45,40,50,45,45,45,50,65,45,,,,,,70,76,58,60,defense,on_track,Utility infielder / contact bench bat,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as utility infielder / contact bench bat.
,Depth / Role Player,chi,Chicago Deep Dish,AL_CENTRAL,AAA,Gary Steel Slices,Keon,Rivas,27,CF,45,40,50,45,45,45,50,65,45,,,,,,81,83,63,73,defense,on_track,Left-handed bench outfield depth,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as left-handed bench outfield depth.
,Depth / Role Player,chi,Chicago Deep Dish,AL_CENTRAL,AAA,Gary Steel Slices,Luca,Zavala,28,SP,45,40,50,20,20,20,20,30,50,50,45,65,50,45,92,90,68,86,stamina,on_track,Sixth-starter depth,Starter traits with enough pitch mix to stay in a rotation; workload growth is the main development goal. Best used as sixth-starter depth.
,Depth / Role Player,chi,Chicago Deep Dish,AL_CENTRAL,AA,Aurora Ovenbirds,Mateo,Garnet,24,RP,40,35,55,20,20,20,25,30,45,45,35,30,60,40,64,55,73,62,velocity,on_track,Middle-relief shuttle candidate,Relief profile with one carrying pitch and room for command growth; velocity development drives the upside. Best used as middle-relief shuttle candidate.
,Depth / Role Player,chi,Chicago Deep Dish,AL_CENTRAL,AA,Aurora Ovenbirds,Nolan,Norcross,24,RF,40,35,55,40,55,45,35,45,40,,,,,,75,62,78,75,fundamentals,on_track,Fourth-outfielder depth,Bat-first profile with enough impact to matter if the approach holds; fundamentals can turn the tools into a role. Best used as fourth-outfielder depth.
,Depth / Role Player,chi,Chicago Deep Dish,AL_CENTRAL,A_PLUS,Rockford Crustmakers,Omar,Voss,22,SS,35,25,55,35,35,35,40,55,35,,,,,,86,69,83,88,defense,on_track,Defense-first infield depth,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as defense-first infield depth.
,Depth / Role Player,chi,Chicago Deep Dish,AL_CENTRAL,A,Cicero Saucehands,Pascal,Duarte,21,SP,30,20,55,20,20,20,20,30,30,35,30,50,35,30,58,76,88,64,stamina,on_track,Developmental starter with strike-throwing base,Starter traits with enough pitch mix to stay in a rotation; workload growth is the main development goal. Best used as developmental starter with strike-throwing base.
,Depth / Role Player,chi,Chicago Deep Dish,AL_CENTRAL,ROOKIE,Naperville Doughboys,Quinn,Kovar,19,C,25,20,50,25,30,30,20,40,30,,,,,,69,83,44,77,fundamentals,on_track,Young catcher / staff-handling project,Catcher with staff-handling traits and a realistic defensive path; fundamentals can turn the tools into a role. Best used as young catcher / staff-handling project.
,Depth / Role Player,chi,Chicago Deep Dish,AL_CENTRAL,INTERNATIONAL,Santiago Deep Dish Academy,Rafael,Severin,18,RP,25,20,55,20,20,20,25,30,25,30,20,20,45,25,80,90,49,90,velocity,on_track,Academy arm strength project,Relief profile with one carrying pitch and room for command growth; velocity development drives the upside. Best used as academy arm strength project.
1,Top Prospect,det,Detroit Motor Kings,AL_CENTRAL,AA,Grand Rapids Axles,Silas,Bellweather,23,SP,45,40,65,20,20,20,20,30,50,50,50,55,50,55,94,60,61,68,refinement,on_track,Top ranked pitching prospect / rotation or leverage upside,"Starter traits with enough pitch mix to stay in a rotation; refinement should decide the role. Fits the org identity around mechanical pitching development, ground-ball defense, and steady up-the-middle players."
2,Top Prospect,det,Detroit Motor Kings,AL_CENTRAL,AA,Grand Rapids Axles,Theo,Ives,23,RF,45,40,70,45,65,40,40,45,45,,,,,,69,72,73,83,power,ahead_of_curve,Impact follow prospect / everyday or rotation path,"Bat-first profile with enough impact to matter if the approach holds; game power is the development focus. Fits the org identity around mechanical pitching development, ground-ball defense, and steady up-the-middle players."
3,Top Prospect,det,Detroit Motor Kings,AL_CENTRAL,A_PLUS,Flint Torque Works,Ulises,Paredes,21,1B,40,35,60,40,60,35,35,40,40,,,,,,83,84,85,61,power,on_track,Scarcity-position prospect / above-average role path,"Bat-first profile with enough impact to matter if the approach holds; game power is the development focus. Fits the org identity around mechanical pitching development, ground-ball defense, and steady up-the-middle players."
